sampling_rates_mhz,frequency_hz,true_angle_deg,music_angle_deg,esprit_angle_deg,music_error_deg,esprit_error_deg,status
20,1300000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
20,1300000000,-45,-45.000012221844145,-45.00000000000001,-1.222184414473304e-05,-7.105427357601002e-15,ok
20,1300000000,-30,-30.00000695707405,-29.999999999999996,-6.957074049296352e-06,3.552713678800501e-15,ok
20,1300000000,-10,-10.000002105935136,-9.999999999999993,-2.1059351364982604e-06,7.105427357601002e-15,ok
20,1300000000,0,8.235087232228046e-13,-0.0,8.235087232228046e-13,-0.0,ok
20,1300000000,10,10.000002105936783,9.999999999999993,2.1059367831810505e-06,-7.105427357601002e-15,ok
20,1300000000,30,30.000006957075698,29.999999999999996,6.957075697755499e-06,-3.552713678800501e-15,ok
20,1300000000,45,45.00001222184579,45.00000000000001,1.2221845793192188e-05,7.105427357601002e-15,ok
20,1300000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
32,300000000,-60,-60.0,-60.000000000000036,0.0,-3.552713678800501e-14,ok
32,300000000,-45,-45.000013622156274,-44.999999999999986,-1.3622156274095687e-05,1.4210854715202004e-14,ok
32,300000000,-30,-30.00000774221756,-30.000000000000018,-7.742217558615039e-06,-1.7763568394002505e-14,ok
32,300000000,-10,-10.000002341398869,-10.000000000000036,-2.3413988685661025e-06,-3.552713678800501e-14,ok
32,300000000,0,8.202564882074214e-13,-0.0,8.202564882074214e-13,-0.0,ok
32,300000000,10,10.00000234140051,10.000000000000036,2.341400509919822e-06,3.552713678800501e-14,ok
32,300000000,30,30.0000077422192,30.000000000000018,7.742219199968758e-06,1.7763568394002505e-14,ok
32,300000000,45,45.00001362215791,44.99999999999999,1.362215790834398e-05,-7.105427357601002e-15,ok
32,300000000,60,60.000000000001705,60.000000000000036,1.7053025658242404e-12,3.552713678800501e-14,ok
32,500000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
32,500000000,-45,-45.00001309971865,-45.00000000000003,-1.3099718650266823e-05,-2.842170943040401e-14,ok
32,500000000,-30,-30.000007449694216,-29.99999999999998,-7.4496942161772495e-06,2.1316282072803006e-14,ok
32,500000000,-10,-10.000002253755051,-10.00000000000002,-2.253755051029316e-06,-1.9539925233402755e-14,ok
32,500000000,0,8.214670223975554e-13,-0.0,8.214670223975554e-13,-0.0,ok
32,500000000,10,10.000002253756694,10.000000000000016,2.2537566941593923e-06,1.5987211554602254e-14,ok
32,500000000,30,30.000007449695858,29.999999999999964,7.449695857530969e-06,-3.552713678800501e-14,ok
32,500000000,45,45.0000130997203,45.00000000000003,1.309972029872597e-05,2.842170943040401e-14,ok
32,500000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
32,800000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
32,800000000,-45,-45.00001265299268,-44.99999999999999,-1.26529926802732e-05,7.105427357601002e-15,ok
32,800000000,-30,-30.000007199221496,-29.999999999999993,-7.199221496279051e-06,7.105427357601002e-15,ok
32,800000000,-10,-10.000002178641482,-10.0,-2.178641482331045e-06,0.0,ok
32,800000000,0,8.22501950852893e-13,-0.0,8.22501950852893e-13,-0.0,ok
32,800000000,10,10.000002178643127,10.0,2.1786431272374784e-06,0.0,ok
32,800000000,30,30.00000719922314,29.999999999999993,7.1992231411854846e-06,-7.105427357601002e-15,ok
32,800000000,45,45.00001265299432,44.99999999999999,1.265299432162692e-05,-7.105427357601002e-15,ok
32,800000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
32,1000000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
32,1000000000,-45,-45.00001245123328,-45.00000000000001,-1.2451233281751684e-05,-7.105427357601002e-15,ok
32,1000000000,-30,-30.000007085968356,-29.999999999999993,-7.085968356079775e-06,7.105427357601002e-15,ok
32,1000000000,-10,-10.00000214465054,-10.000000000000005,-2.1446505407141103e-06,-5.329070518200751e-15,ok
32,1000000000,0,8.229733917277038e-13,-0.0,8.229733917277038e-13,-0.0,ok
32,1000000000,10,10.000002144652186,10.000000000000005,2.1446521856205436e-06,5.329070518200751e-15,ok
32,1000000000,30,30.00000708597,29.999999999999993,7.085970000986208e-06,-7.105427357601002e-15,ok
32,1000000000,45,45.00001245123492,45.00000000000001,1.2451234923105403e-05,7.105427357601002e-15,ok
32,1000000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
32,1300000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
32,1300000000,-45,-45.000012221844145,-45.00000000000001,-1.222184414473304e-05,-7.105427357601002e-15,ok
32,1300000000,-30,-30.00000695707405,-29.999999999999996,-6.957074049296352e-06,3.552713678800501e-15,ok
32,1300000000,-10,-10.000002105935136,-9.999999999999993,-2.1059351364982604e-06,7.105427357601002e-15,ok
32,1300000000,0,8.235087232228046e-13,-0.0,8.235087232228046e-13,-0.0,ok
32,1300000000,10,10.000002105936783,9.999999999999995,2.1059367831810505e-06,-5.329070518200751e-15,ok
32,1300000000,30,30.000006957075698,29.999999999999996,6.957075697755499e-06,-3.552713678800501e-15,ok
32,1300000000,45,45.00001222184579,45.00000000000001,1.2221845793192188e-05,7.105427357601002e-15,ok
32,1300000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
64,300000000,-60,-60.0,-60.000000000000036,0.0,-3.552713678800501e-14,ok
64,300000000,-45,-45.000013622156274,-44.99999999999999,-1.3622156274095687e-05,7.105427357601002e-15,ok
64,300000000,-30,-30.000007742217562,-30.000000000000018,-7.742217562167752e-06,-1.7763568394002505e-14,ok
64,300000000,-10,-10.000002341398869,-10.000000000000037,-2.3413988685661025e-06,-3.730349362740526e-14,ok
64,300000000,0,8.202564882074214e-13,-0.0,8.202564882074214e-13,-0.0,ok
64,300000000,10,10.00000234140051,10.000000000000036,2.341400509919822e-06,3.552713678800501e-14,ok
64,300000000,30,30.0000077422192,30.000000000000025,7.742219199968758e-06,2.4868995751603507e-14,ok
64,300000000,45,45.00001362215791,44.99999999999999,1.362215790834398e-05,-7.105427357601002e-15,ok
64,300000000,60,60.000000000001705,60.00000000000001,1.7053025658242404e-12,7.105427357601002e-15,ok
64,500000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
64,500000000,-45,-45.00001309971865,-45.00000000000003,-1.3099718650266823e-05,-2.842170943040401e-14,ok
64,500000000,-30,-30.000007449694216,-29.99999999999998,-7.4496942161772495e-06,2.1316282072803006e-14,ok
64,500000000,-10,-10.000002253755051,-10.00000000000002,-2.253755051029316e-06,-1.9539925233402755e-14,ok
64,500000000,0,8.214670223975554e-13,-0.0,8.214670223975554e-13,-0.0,ok
64,500000000,10,10.000002253756694,10.00000000000002,2.2537566941593923e-06,1.9539925233402755e-14,ok
64,500000000,30,30.000007449695858,29.99999999999998,7.449695857530969e-06,-2.1316282072803006e-14,ok
64,500000000,45,45.0000130997203,45.00000000000003,1.309972029872597e-05,2.842170943040401e-14,ok
64,500000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
64,800000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
64,800000000,-45,-45.00001265299268,-44.99999999999999,-1.26529926802732e-05,7.105427357601002e-15,ok
64,800000000,-30,-30.000007199221496,-29.999999999999993,-7.199221496279051e-06,7.105427357601002e-15,ok
64,800000000,-10,-10.000002178641482,-10.0,-2.178641482331045e-06,0.0,ok
64,800000000,0,8.22501950852893e-13,-0.0,8.22501950852893e-13,-0.0,ok
64,800000000,10,10.000002178643127,10.0,2.1786431272374784e-06,0.0,ok
64,800000000,30,30.00000719922314,30.000000000000004,7.1992231411854846e-06,3.552713678800501e-15,ok
64,800000000,45,45.00001265299432,44.99999999999999,1.265299432162692e-05,-7.105427357601002e-15,ok
64,800000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
64,1000000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
64,1000000000,-45,-45.00001245123328,-45.00000000000001,-1.2451233281751684e-05,-7.105427357601002e-15,ok
64,1000000000,-30,-30.000007085968356,-29.999999999999993,-7.085968356079775e-06,7.105427357601002e-15,ok
64,1000000000,-10,-10.00000214465054,-10.000000000000005,-2.1446505407141103e-06,-5.329070518200751e-15,ok
64,1000000000,0,8.229733917277038e-13,-0.0,8.229733917277038e-13,-0.0,ok
64,1000000000,10,10.000002144652186,10.000000000000005,2.1446521856205436e-06,5.329070518200751e-15,ok
64,1000000000,30,30.00000708597,29.999999999999993,7.085970000986208e-06,-7.105427357601002e-15,ok
64,1000000000,45,45.00001245123492,45.00000000000001,1.2451234923105403e-05,7.105427357601002e-15,ok
64,1000000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
64,1300000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
64,1300000000,-45,-45.000012221844145,-45.00000000000001,-1.222184414473304e-05,-7.105427357601002e-15,ok
64,1300000000,-30,-30.00000695707405,-29.999999999999996,-6.957074049296352e-06,3.552713678800501e-15,ok
64,1300000000,-10,-10.000002105935136,-9.999999999999993,-2.1059351364982604e-06,7.105427357601002e-15,ok
64,1300000000,0,8.235087232228046e-13,-0.0,8.235087232228046e-13,-0.0,ok
64,1300000000,10,10.000002105936783,9.999999999999995,2.1059367831810505e-06,-5.329070518200751e-15,ok
64,1300000000,30,30.000006957075698,29.999999999999996,6.957075697755499e-06,-3.552713678800501e-15,ok
64,1300000000,45,45.00001222184579,45.00000000000001,1.2221845793192188e-05,7.105427357601002e-15,ok
64,1300000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
200,300000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
200,300000000,-45,-45.000013622156274,-44.99999999999999,-1.3622156274095687e-05,7.105427357601002e-15,ok
200,300000000,-30,-30.000007742217562,-30.000000000000018,-7.742217562167752e-06,-1.7763568394002505e-14,ok
200,300000000,-10,-10.000002341398869,-10.000000000000034,-2.3413988685661025e-06,-3.375077994860476e-14,ok
200,300000000,0,8.202564882074214e-13,-0.0,8.202564882074214e-13,-0.0,ok
200,300000000,10,10.00000234140051,10.000000000000036,2.341400509919822e-06,3.552713678800501e-14,ok
200,300000000,30,30.0000077422192,30.000000000000018,7.742219199968758e-06,1.7763568394002505e-14,ok
200,300000000,45,45.00001362215791,45.000000000000014,1.362215790834398e-05,1.4210854715202004e-14,ok
200,300000000,60,60.000000000001705,60.000000000000036,1.7053025658242404e-12,3.552713678800501e-14,ok
200,500000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
200,500000000,-45,-45.00001309971865,-45.00000000000003,-1.3099718650266823e-05,-2.842170943040401e-14,ok
200,500000000,-30,-30.000007449694216,-29.999999999999964,-7.4496942161772495e-06,3.552713678800501e-14,ok
200,500000000,-10,-10.000002253755051,-10.00000000000002,-2.253755051029316e-06,-1.9539925233402755e-14,ok
200,500000000,0,8.214670223975554e-13,-0.0,8.214670223975554e-13,-0.0,ok
200,500000000,10,10.000002253756694,10.000000000000021,2.2537566941593923e-06,2.1316282072803006e-14,ok
200,500000000,30,30.000007449695858,29.99999999999998,7.449695857530969e-06,-2.1316282072803006e-14,ok
200,500000000,45,45.0000130997203,45.00000000000003,1.309972029872597e-05,2.842170943040401e-14,ok
200,500000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
200,800000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
200,800000000,-45,-45.00001265299268,-44.99999999999999,-1.26529926802732e-05,7.105427357601002e-15,ok
200,800000000,-30,-30.000007199221496,-29.999999999999993,-7.199221496279051e-06,7.105427357601002e-15,ok
200,800000000,-10,-10.000002178641482,-10.0,-2.178641482331045e-06,0.0,ok
200,800000000,0,8.22501950852893e-13,-0.0,8.22501950852893e-13,-0.0,ok
200,800000000,10,10.000002178643127,10.0,2.1786431272374784e-06,0.0,ok
200,800000000,30,30.00000719922314,29.999999999999993,7.1992231411854846e-06,-7.105427357601002e-15,ok
200,800000000,45,45.00001265299432,44.99999999999999,1.265299432162692e-05,-7.105427357601002e-15,ok
200,800000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
200,1000000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
200,1000000000,-45,-45.00001245123328,-45.00000000000001,-1.2451233281751684e-05,-7.105427357601002e-15,ok
200,1000000000,-30,-30.000007085968356,-29.999999999999993,-7.085968356079775e-06,7.105427357601002e-15,ok
200,1000000000,-10,-10.00000214465054,-10.000000000000007,-2.1446505407141103e-06,-7.105427357601002e-15,ok
200,1000000000,0,8.229733917277038e-13,-0.0,8.229733917277038e-13,-0.0,ok
200,1000000000,10,10.000002144652186,10.000000000000007,2.1446521856205436e-06,7.105427357601002e-15,ok
200,1000000000,30,30.00000708597,29.999999999999993,7.085970000986208e-06,-7.105427357601002e-15,ok
200,1000000000,45,45.00001245123492,45.00000000000001,1.2451234923105403e-05,7.105427357601002e-15,ok
200,1000000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
200,1300000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
200,1300000000,-45,-45.000012221844145,-45.00000000000001,-1.222184414473304e-05,-7.105427357601002e-15,ok
200,1300000000,-30,-30.00000695707405,-29.999999999999996,-6.957074049296352e-06,3.552713678800501e-15,ok
200,1300000000,-10,-10.000002105935136,-9.999999999999993,-2.1059351364982604e-06,7.105427357601002e-15,ok
200,1300000000,0,8.235087232228046e-13,-0.0,8.235087232228046e-13,-0.0,ok
200,1300000000,10,10.000002105936783,9.999999999999991,2.1059367831810505e-06,-8.881784197001252e-15,ok
200,1300000000,30,30.000006957075698,29.999999999999996,6.957075697755499e-06,-3.552713678800501e-15,ok
200,1300000000,45,45.00001222184579,45.00000000000001,1.2221845793192188e-05,7.105427357601002e-15,ok
200,1300000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
